years,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,EC-Earth3,FGOALS-g3,GFDL-ESM4,GISS-E2-1-G,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,MIROC6,MIROC-ES2L,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-LM,NorESM2-MM,mme-mean,mme-median,mme-pct25,mme-pct75
2069.0,8.0,11.0,11.0,10.0,10.0,5.0,9.0,15.0,10.0,11.0,14.0,7.0,7.0,7.0,7.0,11.0,10.0,13.0,6.0,13.0,7.0,6.0,9.454545454545455,10.0,7.0,11.0
2070.0,11.0,15.0,15.0,14.0,14.0,6.0,9.0,14.0,6.0,13.0,10.0,8.0,7.0,4.0,3.0,13.0,8.0,15.0,6.0,14.0,4.0,14.0,10.136363636363637,10.5,6.25,14.0
2071.0,10.0,13.0,9.0,17.0,13.0,9.0,15.0,9.0,8.0,4.0,8.0,6.0,7.0,6.0,7.0,8.0,10.0,10.0,4.0,9.0,9.0,7.0,9.0,9.0,7.0,10.0
2072.0,8.0,5.0,11.0,10.0,10.0,18.0,8.0,12.0,7.0,10.0,17.0,2.0,8.0,7.0,3.0,8.0,11.0,9.0,12.0,9.0,5.0,13.0,9.227272727272727,9.0,7.25,11.0
2073.0,11.0,15.0,16.0,13.0,15.0,12.0,3.0,14.0,3.0,13.0,14.0,7.0,7.0,8.0,5.0,12.0,13.0,7.0,9.0,19.0,8.0,15.0,10.863636363636363,12.0,7.25,14.0
2074.0,13.0,8.0,13.0,11.0,13.0,13.0,14.0,11.0,7.0,10.0,8.0,8.0,6.0,8.0,4.0,13.0,6.0,9.0,7.0,11.0,4.0,8.0,9.318181818181818,8.5,7.25,12.5
2075.0,15.0,5.0,15.0,13.0,13.0,9.0,14.0,20.0,6.0,17.0,5.0,7.0,7.0,7.0,1.0,10.0,5.0,11.0,11.0,10.0,12.0,10.0,10.136363636363637,10.0,7.0,13.0
2076.0,10.0,13.0,16.0,14.0,8.0,11.0,9.0,8.0,3.0,7.0,17.0,8.0,6.0,5.0,8.0,9.0,12.0,15.0,5.0,13.0,7.0,14.0,9.909090909090908,9.0,7.25,13.0
2077.0,9.0,8.0,13.0,15.0,6.0,8.0,10.0,10.0,2.0,4.0,11.0,7.0,6.0,15.0,3.0,7.0,10.0,8.0,5.0,7.0,6.0,12.0,8.272727272727273,8.0,6.0,10.0
2078.0,8.0,8.0,17.0,12.0,10.0,8.0,9.0,16.0,8.0,14.0,9.0,6.0,4.0,7.0,6.0,9.0,5.0,6.0,5.0,21.0,15.0,13.0,9.818181818181818,8.5,6.25,12.75
2079.0,11.0,9.0,6.0,9.0,11.0,10.0,16.0,11.0,11.0,8.0,21.0,8.0,9.0,4.0,3.0,8.0,11.0,13.0,11.0,15.0,2.0,10.0,9.863636363636363,10.0,8.0,11.0
2080.0,17.0,11.0,15.0,9.0,13.0,7.0,12.0,11.0,7.0,13.0,13.0,4.0,7.0,6.0,3.0,22.0,8.0,6.0,9.0,14.0,12.0,4.0,10.136363636363637,10.0,7.0,13.0
2081.0,12.0,12.0,12.0,7.0,12.0,11.0,13.0,15.0,3.0,18.0,5.0,7.0,10.0,16.0,6.0,17.0,14.0,5.0,11.0,6.0,10.0,11.0,10.590909090909092,11.0,7.0,12.75
2082.0,9.0,11.0,15.0,16.0,11.0,15.0,11.0,16.0,10.0,14.0,5.0,9.0,19.0,7.0,5.0,13.0,12.0,18.0,6.0,9.0,3.0,6.0,10.909090909090908,11.0,7.5,14.75
2083.0,11.0,12.0,14.0,20.0,7.0,15.0,12.0,14.0,8.0,14.0,15.0,8.0,13.0,5.0,2.0,3.0,8.0,9.0,13.0,12.0,6.0,12.0,10.590909090909092,12.0,8.0,13.75
2084.0,12.0,14.0,9.0,12.0,4.0,10.0,18.0,15.0,6.0,12.0,8.0,10.0,9.0,9.0,8.0,5.0,10.0,15.0,8.0,15.0,10.0,9.0,10.363636363636363,10.0,8.25,12.0
2085.0,16.0,15.0,18.0,10.0,14.0,9.0,11.0,13.0,7.0,10.0,10.0,6.0,3.0,5.0,6.0,10.0,5.0,11.0,9.0,11.0,9.0,5.0,9.681818181818182,10.0,6.25,11.0
2086.0,11.0,21.0,13.0,20.0,12.0,11.0,11.0,21.0,13.0,11.0,7.0,12.0,8.0,11.0,7.0,11.0,7.0,8.0,9.0,7.0,5.0,12.0,11.272727272727273,11.0,8.0,12.0
2087.0,17.0,10.0,10.0,12.0,6.0,10.0,8.0,16.0,4.0,10.0,7.0,11.0,5.0,11.0,5.0,8.0,16.0,4.0,12.0,14.0,11.0,12.0,9.954545454545455,10.0,7.25,12.0
2088.0,18.0,8.0,9.0,16.0,9.0,11.0,12.0,12.0,5.0,14.0,8.0,5.0,12.0,8.0,8.0,14.0,12.0,10.0,6.0,9.0,11.0,14.0,10.5,10.5,8.0,12.0
2089.0,7.0,11.0,13.0,7.0,6.0,13.0,18.0,18.0,14.0,16.0,12.0,10.0,7.0,11.0,2.0,18.0,11.0,6.0,9.0,6.0,9.0,13.0,10.772727272727273,11.0,7.0,13.0
2090.0,8.0,8.0,14.0,13.0,9.0,14.0,12.0,17.0,7.0,12.0,8.0,11.0,15.0,10.0,5.0,15.0,10.0,14.0,6.0,13.0,8.0,8.0,10.772727272727273,10.5,8.0,13.75
2091.0,12.0,15.0,6.0,17.0,10.0,11.0,12.0,16.0,7.0,11.0,17.0,10.0,16.0,9.0,8.0,11.0,10.0,9.0,10.0,11.0,14.0,8.0,11.363636363636363,11.0,9.25,13.5
2092.0,7.0,9.0,11.0,11.0,11.0,12.0,10.0,4.0,9.0,5.0,11.0,9.0,13.0,7.0,2.0,8.0,9.0,14.0,9.0,11.0,9.0,12.0,9.227272727272727,9.0,8.25,11.0
2093.0,12.0,12.0,9.0,12.0,8.0,12.0,11.0,22.0,8.0,6.0,12.0,5.0,7.0,10.0,4.0,9.0,13.0,11.0,8.0,5.0,8.0,14.0,9.909090909090908,9.5,8.0,12.0
2094.0,12.0,7.0,11.0,11.0,12.0,15.0,11.0,15.0,12.0,12.0,11.0,8.0,13.0,6.0,6.0,12.0,6.0,9.0,5.0,16.0,14.0,12.0,10.727272727272727,11.5,8.25,12.0
2095.0,13.0,10.0,18.0,17.0,11.0,15.0,14.0,16.0,9.0,20.0,8.0,10.0,11.0,8.0,9.0,8.0,11.0,10.0,17.0,8.0,9.0,9.0,11.863636363636363,10.5,9.0,14.75
2096.0,9.0,9.0,13.0,13.0,7.0,20.0,17.0,18.0,9.0,13.0,10.0,7.0,9.0,8.0,6.0,9.0,14.0,11.0,7.0,8.0,8.0,21.0,11.181818181818182,9.0,8.0,13.0
2097.0,10.0,14.0,15.0,8.0,8.0,14.0,10.0,7.0,9.0,10.0,9.0,8.0,12.0,7.0,8.0,8.0,9.0,9.0,11.0,15.0,9.0,15.0,10.227272727272727,9.0,8.0,11.75
2098.0,15.0,14.0,7.0,9.0,6.0,8.0,14.0,6.0,5.0,11.0,7.0,8.0,9.0,9.0,5.0,11.0,11.0,14.0,13.0,18.0,9.0,16.0,10.227272727272727,9.0,7.25,13.75
2099.0,18.0,14.0,13.0,13.0,9.0,11.0,10.0,14.0,8.0,26.0,18.0,12.0,7.0,10.0,4.0,11.0,9.0,12.0,11.0,9.0,3.0,10.0,11.454545454545455,11.0,9.0,13.0
2100.0,20.0,8.0,16.0,8.0,10.0,15.0,14.0,11.0,8.0,12.0,8.0,9.0,4.0,13.0,5.0,11.0,9.0,12.0,6.0,14.0,7.0,9.0,10.409090909090908,9.5,8.0,12.75
